x1,y1,z1,V1,V2
-0.098012474,-0.879670182,-0.120027629,6,1
-0.020018189,-0.432364163,-0.120952688,6,1
0.021626693,-0.637724832,-0.243414825,6,1
-0.07309379,-0.602007586,-0.231893243,6,1
0.078781424,-0.799984477,-0.110722449,6,1
0.074642932,-0.846762556,-0.179340461,6,1
0.083944715,-0.636665228,-0.205767493,6,1
-0.007291809,-0.59806021,-0.110532506,6,1
-0.008887415,-0.553786921,-0.066462117,6,1
0.204822184,-0.832109343,-0.116933766,6,1
0.21585397,-0.65827995,-0.182636246,6,1
0.401677291,-0.912352889,-0.137431826,6,1
0.215321073,-0.813939621,-0.127286503,6,1
0.152393596,-0.649647471,-0.167539159,6,1
-0.015569451,-0.489845465,-0.228503179,6,1
0.066357991,-0.564307034,-0.128442716,6,1
0.329267905,-0.863592238,-0.111037497,6,1
-0.103910536,-0.47615394,-0.189602269,6,1
0.00680663,-0.544984556,-0.093405668,6,1
0.282788274,-0.821638112,-0.134680656,6,1
-0.022747325,-0.605424702,-0.021119268,6,1
0.290510087,-0.885992084,-0.111731478,6,1
0.353545388,-0.7880476,-0.067541533,2,1
-0.009900615,-0.684735901,-0.202393748,6,1
0.115844541,-0.6163879,-0.154939667,6,1
-0.030646795,-0.495691955,-0.214275748,6,1
0.112202471,-0.827511482,-0.143289954,6,1
0.242624882,-0.868696828,-0.129006025,6,1
0.136763074,-0.669596388,-0.097377667,6,1
0.164921901,-0.888314428,-0.156342604,6,1
-0.0844447,-0.755718024,-0.183340801,6,1
0.089567102,-0.773587834,-0.151700325,6,1
0.057683859,-0.774538866,-0.170864567,6,1
0.124643269,-0.843708891,-0.136468978,6,1
0.317066922,-0.823473827,-0.142915836,6,1
0.422781655,-0.921342072,-0.132966711,6,1
-0.069782966,-0.480118924,-0.202241991,6,1
0.024122821,-0.491313363,-0.181806998,6,1
0.160195044,-0.71743038,-0.103430892,6,1
0.257017369,-0.869665485,-0.10998385,6,1
0.058124113,-0.503837008,-0.122047067,6,1
0.001233953,-0.635878186,-0.190211021,6,1
0.060231185,-0.814027709,-0.14484058,6,1
0.223152201,-0.766890242,-0.189230799,6,1
0.038788747,-0.605910926,-0.089711643,6,1
0.279272555,-0.84981275,-0.127524645,6,1
0.037165692,-0.412888459,-0.07532821,6,1
-0.023564858,-0.401435616,-0.103566777,6,1
0.038892652,-0.574944143,-0.163307654,6,1
-0.03474689,-0.446112044,-0.047017751,6,1
0.002500448,-0.558810598,-0.124347722,6,1
-0.037817904,-0.609326382,-0.107366521,6,1
0.01045396,-0.702742928,-0.199898409,6,1
0.124097335,-0.501777274,-0.207030943,6,1
0.267404742,-0.776926801,-0.170675042,6,1
0.128049336,-0.558706293,-0.102462346,6,1
0.05931549,-0.494442016,-0.160098745,6,1
0.329512028,-0.89743389,-0.131801439,6,1
0.169987442,-0.721742238,-0.216225836,6,1
0.117731849,-0.549094983,-0.206795881,6,1
0.229483879,-0.873490718,-0.09774557,6,1
0.04903392,-0.664420076,-0.087024175,6,1
-0.089553487,-0.720992564,-0.147055077,6,1
0.228304554,-0.527229263,-0.155528614,6,1
0.232372351,-0.876188508,-0.153520685,6,1
0.264523017,-0.892350856,-0.11197068,6,1
0.098025546,-0.794308151,-0.156418272,6,1
0.185276107,-0.818311026,-0.143726559,6,1
0.350667942,-0.813163361,-0.154632489,6,1
0.167275189,-0.610741542,-0.179289239,6,1
0.122614281,-0.817122704,-0.125174484,6,1
0.328892952,-0.68014906,0.003782178,6,1
-0.028647078,-0.710794271,-0.19323421,6,1
0.215781163,-0.680573234,-0.116862351,6,1
0.276413207,-0.818290684,-0.1432667,6,1
0.261640635,-0.786244996,-0.077169384,6,1
-0.055485341,-0.619186773,-0.164519036,6,1
0.272013408,-0.849356876,-0.107497557,6,1
-0.100374233,-0.721282565,-0.161691548,6,1
-0.021717473,-0.447828212,-0.219206488,6,1
0.029019162,-0.51417668,-0.124114303,6,1
0.102335124,-0.611841611,-0.153163789,6,1
0.176850587,-0.739863536,-0.179346842,6,1
0.053063334,-0.424001714,-0.145920265,6,1
-0.034459296,-0.864299102,-0.136810345,6,1
0.103360021,-0.745645114,-0.116683292,6,1
-0.017448552,-0.370882078,-0.099294786,6,1
0.120899645,-0.553698644,-0.255186921,6,1
0.075182163,-0.530762966,-0.216196202,6,1
0.125648736,-0.629724238,-0.208880228,6,1
0.04127401,-0.676922531,-0.165213379,6,1
0.09937969,-0.775264811,-0.159460122,6,1
0.109774984,-0.529384354,-0.12115807,6,1
0.080614367,-0.573748326,-0.245346062,6,1
0.088487322,-0.718475562,-0.221135212,6,1
-0.10977412,-0.586148209,-0.170354417,6,1
0.003116151,-0.616155449,-0.247372348,6,1
0.12430307,-0.528448567,-0.229777898,6,1
0.155002852,-0.574395551,-0.167424947,6,1
0.187658934,-0.807461641,-0.120952308,6,1
0.025253996,-0.471447304,-0.186706398,6,1
0.050026035,-0.51812755,0.069398694,6,1
0.235833462,-0.59081882,-0.221521188,6,1
0.455970974,-0.826699409,-0.106352186,6,1
-0.054340557,-0.781789994,-0.149377108,6,1
0.001452568,-0.786306532,-0.116848962,6,1
0.056264022,-0.564116599,-0.10047188,6,1
-0.039048557,-0.517662095,-0.247938967,6,1
-0.029890893,-0.441876181,-0.134303753,6,1
0.155646972,-0.542701139,-0.127857895,6,1
0.160006404,-0.674040527,-0.112430235,6,1
0.08247947,-0.768620194,-0.104650001,6,1
0.323895463,-0.907522244,-0.118977751,6,1
0.331340261,-0.890295227,-0.132736978,6,1
-0.000628629,-0.772991453,-0.165671223,6,1
0.282959531,-0.857641207,-0.109707423,6,1
0.031645391,-0.692291846,-0.249833443,6,1
0.067881872,-0.792740178,-0.137410678,6,1
0.280359134,-0.891811691,-0.114980464,6,1
0.025956399,-0.574424613,-0.121711156,6,1
0.304199353,-0.850970675,-0.142691721,6,1
-0.050909185,-0.667777066,-0.198041537,6,1
